n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,8001,,16,200,0.5,True,False,False,0.001,1e-05,0.781641956508
200,8501,,16,200,0.5,True,False,False,0.001,1e-05,0.781967193865
200,9001,,16,200,0.5,True,False,False,0.001,1e-05,0.78176352218
200,9501,,16,200,0.5,True,False,False,0.001,1e-05,0.782163765444
200,10001,,16,200,0.5,True,False,False,0.001,1e-05,0.781788516044
200,501,,16,200,0.5,False,False,True,0.001,1e-05,0.652272250601
200,1001,,16,200,0.5,False,False,True,0.001,1e-05,0.70703842672
200,1501,,16,200,0.5,False,False,True,0.001,1e-05,0.72404847482
200,2001,,16,200,0.5,False,False,True,0.001,1e-05,0.73348404803
200,2501,,16,200,0.5,False,False,True,0.001,1e-05,0.744940054512
200,3001,,16,200,0.5,False,False,True,0.001,1e-05,0.74984203866
200,3501,,16,200,0.5,False,False,True,0.001,1e-05,0.750951224085
200,4001,,16,200,0.5,False,False,True,0.001,1e-05,0.756578976208
200,4501,,16,200,0.5,False,False,True,0.001,1e-05,0.75814189363
200,5001,,16,200,0.5,False,False,True,0.001,1e-05,0.759212404462
200,5501,,16,200,0.5,False,False,True,0.001,1e-05,0.759670372616
200,6001,,16,200,0.5,False,False,True,0.001,1e-05,0.759987261505
200,6501,,16,200,0.5,False,False,True,0.001,1e-05,0.760626391288
200,7001,,16,200,0.5,False,False,True,0.001,1e-05,0.760705156591
200,7501,,16,200,0.5,False,False,True,0.001,1e-05,0.7608071939
200,8001,,16,200,0.5,False,False,True,0.001,1e-05,0.761076642329
200,8501,,16,200,0.5,False,False,True,0.001,1e-05,0.761118942081
200,9001,,16,200,0.5,False,False,True,0.001,1e-05,0.761219756714
200,9501,,16,200,0.5,False,False,True,0.001,1e-05,0.761289094409
200,10001,,16,200,0.5,False,False,True,0.001,1e-05,0.761363422467
200,501,,16,50,0.5,True,False,True,0.001,1e-05,0.734650541119
200,1001,,16,50,0.5,True,False,True,0.001,1e-05,0.772609566072
200,1501,,16,50,0.5,True,False,True,0.001,1e-05,0.780676546166
200,2001,,16,50,0.5,True,False,True,0.001,1e-05,0.7822157743
200,2501,,16,50,0.5,True,False,True,0.001,1e-05,0.780315781186
200,3001,,16,50,0.5,True,False,True,0.001,1e-05,0.782088338741
200,3501,,16,50,0.5,True,False,True,0.001,1e-05,0.781664978092
200,4001,,16,50,0.5,True,False,True,0.001,1e-05,0.78277855994
200,4501,,16,50,0.5,True,False,True,0.001,1e-05,0.784186311365
200,5001,,16,50,0.5,True,False,True,0.001,1e-05,0.784329886826
200,5501,,16,50,0.5,True,False,True,0.001,1e-05,0.784563308524
200,6001,,16,50,0.5,True,False,True,0.001,1e-05,0.78461159866
200,6501,,16,50,0.5,True,False,True,0.001,1e-05,0.784612854801
200,7001,,16,50,0.5,True,False,True,0.001,1e-05,0.784502344193
200,7501,,16,50,0.5,True,False,True,0.001,1e-05,0.784486911557
200,8001,,16,50,0.5,True,False,True,0.001,1e-05,0.78448933421
200,8501,,16,50,0.5,True,False,True,0.001,1e-05,0.784564937697
200,9001,,16,50,0.5,True,False,True,0.001,1e-05,0.78465848116
200,9501,,16,50,0.5,True,False,True,0.001,1e-05,0.784590850698
200,10001,,16,50,0.5,True,False,True,0.001,1e-05,0.784601220352
200,501,,16,100,0.5,True,False,True,0.001,1e-05,0.749864758269
200,1001,,16,100,0.5,True,False,True,0.001,1e-05,0.774096492275
200,1501,,16,100,0.5,True,False,True,0.001,1e-05,0.77973763995
200,2001,,16,100,0.5,True,False,True,0.001,1e-05,0.782617294541
200,2501,,16,100,0.5,True,False,True,0.001,1e-05,0.781902484191
200,3001,,16,100,0.5,True,False,True,0.001,1e-05,0.783285518595
200,3501,,16,100,0.5,True,False,True,0.001,1e-05,0.782312513677
200,4001,,16,100,0.5,True,False,True,0.001,1e-05,0.782751159564
200,4501,,16,100,0.5,True,False,True,0.001,1e-05,0.783123270469
200,5001,,16,100,0.5,True,False,True,0.001,1e-05,0.784059450843
200,5501,,16,100,0.5,True,False,True,0.001,1e-05,0.784100991393
200,6001,,16,100,0.5,True,False,True,0.001,1e-05,0.784161137047
200,6501,,16,100,0.5,True,False,True,0.001,1e-05,0.784132577888
200,7001,,16,100,0.5,True,False,True,0.001,1e-05,0.784200464881
200,7501,,16,100,0.5,True,False,True,0.001,1e-05,0.783947358201
200,8001,,16,100,0.5,True,False,True,0.001,1e-05,0.78389443446
200,8501,,16,100,0.5,True,False,True,0.001,1e-05,0.783877386917
200,9001,,16,100,0.5,True,False,True,0.001,1e-05,0.783907767284
200,9501,,16,100,0.5,True,False,True,0.001,1e-05,0.783844587208
200,10001,,16,100,0.5,True,False,True,0.001,1e-05,0.783842183961
200,501,,16,200,0.5,True,False,True,0.001,1e-05,0.771356199594
200,1001,,16,200,0.5,True,False,True,0.001,1e-05,0.781252675601
200,1501,,16,200,0.5,True,False,True,0.001,1e-05,0.782294937358
200,2001,,16,200,0.5,True,False,True,0.001,1e-05,0.783516491303
200,2501,,16,200,0.5,True,False,True,0.001,1e-05,0.783156044234
200,3001,,16,200,0.5,True,False,True,0.001,1e-05,0.783151335488
200,3501,,16,200,0.5,True,False,True,0.001,1e-05,0.784047153996
200,4001,,16,200,0.5,True,False,True,0.001,1e-05,0.784356748707
200,4501,,16,200,0.5,True,False,True,0.001,1e-05,0.784399973704
200,5001,,16,200,0.5,True,False,True,0.001,1e-05,0.784527393628
200,5501,,16,200,0.5,True,False,True,0.001,1e-05,0.784447528124
200,6001,,16,200,0.5,True,False,True,0.001,1e-05,0.784534945932
200,6501,,16,200,0.5,True,False,True,0.001,1e-05,0.784598877749
200,7001,,16,200,0.5,True,False,True,0.001,1e-05,0.78452385905
200,7501,,16,200,0.5,True,False,True,0.001,1e-05,0.784803426863
200,8001,,16,200,0.5,True,False,True,0.001,1e-05,0.784940414121
200,8501,,16,200,0.5,True,False,True,0.001,1e-05,0.784927255909
200,9001,,16,200,0.5,True,False,True,0.001,1e-05,0.784939182706
200,9501,,16,200,0.5,True,False,True,0.001,1e-05,0.784941854632
200,10001,,16,200,0.5,True,False,True,0.001,1e-05,0.784977026487
200,501,,16,200,0.5,False,True,False,0.001,1e-05,0.699393358808
