n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,multi_granined_outmode,initial_learning_rate,final_learning_rate,AUC
200,501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.702661719737
200,1001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.732585772416
200,1501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.743058601087
200,2001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.748173948234
200,2501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.753775785799
200,3001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.756422731734
200,3501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.758024135743
200,4001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.760142452797
200,4501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.760303941089
200,5001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761532004207
200,5501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761654953033
200,6001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761732091038
200,6501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761808888441
200,7001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.76179863693
200,7501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761740555487
200,8001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761766291372
200,8501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.761802050682
200,9001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.76194777261
200,9501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762019739509
200,10001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762084142864
200,10501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762131216447
200,11001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762173365487
200,11501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762190139
200,12001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762789114172
200,12501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762866647827
200,13001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762960259441
200,13501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762930489174
200,14001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763114067703
200,14501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.76313205882
200,15001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763167785537
200,15501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763132742675
200,16001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763314596159
200,16501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763571196825
200,17001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763627462042
200,17501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763686471567
200,18001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763702485123
200,18501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763774748765
200,19001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763738022186
200,19501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763758547612
200,20001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763795827366
200,501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.615603121754
200,1001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.69955123815
200,1501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.730205415039
200,2001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.739584525543
200,2501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.743617256495
200,3001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.748220301914
200,3501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.756628920494
200,4001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.758557170701
200,4501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.760099831405
200,5001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761207163355
200,5501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.76143436588
200,6001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761457057195
200,6501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761519608262
200,7001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761616620773
200,7501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761813755037
200,8001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761861243696
200,8501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762058063905
200,9001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762164370716
200,9501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.761994246063
200,10001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762323650237
200,10501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762384211896
200,11001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762486653471
200,11501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762312116055
200,12001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762178909357
200,12501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762244498113
200,13001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.76221894159
200,13501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.76257960748
200,14001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762398975708
200,14501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762596891077
200,15001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762489501718
200,15501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762550684018
200,16001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762604558305
200,16501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762611535878
200,17001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.762747700177
200,17501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.763836405092
200,18001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.763994889424
200,18501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.764062404268
200,19001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.764029028022
200,19501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.764006510196
200,20001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.764128972429
200,501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.556697300538
200,1001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.642456358914
200,1501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.664752159546
200,2001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.688064592174
200,2501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.701581185548
200,3001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.71094405663
200,3501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.719238997565
200,4001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.720943043513
200,4501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.724697806774
200,5001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725168676001
200,5501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725345956456
200,6001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725453856311
200,6501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725610549575
200,7001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725700106435
200,7501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725857351494
200,8001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.725817542016
200,8501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726034479756
200,9001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726133064822
200,9501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726034513696
200,10001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726038979107
200,10501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726161445702
200,11001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.72607462333
200,11501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726019517211
200,12001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.726143565607
200,12501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.727691216967
200,13001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.727838086814
200,13501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728187729688
200,14001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728498549624
200,14501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728505642357
200,15001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728614485984
200,15501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728639337265
200,16001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.728632710515
