n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,initial_learning_rate,final_learning_rate,AUC
200,1,,16,200,0.5,True,False,0.001,1e-05,0.536648769392
200,501,,16,200,0.5,True,False,0.001,1e-05,0.76054517688
