n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,multi_granined_outmode,initial_learning_rate,final_learning_rate,AUC
200,14501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.748955809823
200,15001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749017823431
200,15501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749163080081
200,16001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749231614344
200,16501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749326170514
200,17001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749394947069
200,17501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749433984002
200,18001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749465181706
200,18501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749313895393
200,19001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749206652249
200,19501,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.749109933793
200,20001,,16,200,0.5,False,False,True,mean,0.001,1e-05,0.748987803715
200,501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.678013902963
200,1001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.724992269517
200,1501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.750406181021
200,2001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.758292414
200,2501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.761413899473
200,3001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.763278537753
200,3501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.765684581245
200,4001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.766404630154
200,4501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767376018737
200,5001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768219372023
200,5501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767965222887
200,6001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767770457847
